country_code,c_i_child,G_j,income,gdpppp,m_j,p_j
TWN,1,31.48,3477.18,25342.0,16500.223669999996,0.18
TWN,2,31.48,4740.2637,25342.0,16500.223669999996,0.18
TWN,3,31.48,5331.3013,25342.0,16500.223669999996,0.18
TWN,4,31.48,5761.6577,25342.0,16500.223669999996,0.18
TWN,5,31.48,6093.2017,25342.0,16500.223669999996,0.18
TWN,6,31.48,6406.4414,25342.0,16500.223669999996,0.18
TWN,7,31.48,6659.2026,25342.0,16500.223669999996,0.18
TWN,8,31.48,6918.418000000001,25342.0,16500.223669999996,0.18
TWN,9,31.48,7112.2593,25342.0,16500.223669999996,0.18
TWN,10,31.48,7308.3813,25342.0,16500.223669999996,0.18
TWN,11,31.48,7496.158,25342.0,16500.223669999996,0.18
TWN,12,31.48,7681.5425,25342.0,16500.223669999996,0.18
TWN,13,31.48,7850.1245,25342.0,16500.223669999996,0.18
TWN,14,31.48,8009.637,25342.0,16500.223669999996,0.18
TWN,15,31.48,8181.001,25342.0,16500.223669999996,0.18
TWN,16,31.48,8341.293,25342.0,16500.223669999996,0.18
TWN,17,31.48,8513.546999999999,25342.0,16500.223669999996,0.18
TWN,18,31.48,8659.873,25342.0,16500.223669999996,0.18
TWN,19,31.48,8803.585,25342.0,16500.223669999996,0.18
TWN,20,31.48,8945.795,25342.0,16500.223669999996,0.18
TWN,21,31.48,9087.114,25342.0,16500.223669999996,0.18
TWN,22,31.48,9223.259,25342.0,16500.223669999996,0.18
TWN,23,31.48,9366.303,25342.0,16500.223669999996,0.18
TWN,24,31.48,9521.476999999999,25342.0,16500.223669999996,0.18
TWN,25,31.48,9658.345,25342.0,16500.223669999996,0.18
TWN,26,31.48,9810.958,25342.0,16500.223669999996,0.18
TWN,27,31.48,9952.5,25342.0,16500.223669999996,0.18
TWN,28,31.48,10069.673,25342.0,16500.223669999996,0.18
TWN,29,31.48,10224.568000000001,25342.0,16500.223669999996,0.18
TWN,30,31.48,10362.66,25342.0,16500.223669999996,0.18
TWN,31,31.48,10469.039,25342.0,16500.223669999996,0.18
TWN,32,31.48,10617.48,25342.0,16500.223669999996,0.18
TWN,33,31.48,10778.328000000001,25342.0,16500.223669999996,0.18
TWN,34,31.48,10928.048999999999,25342.0,16500.223669999996,0.18
TWN,35,31.48,11070.927,25342.0,16500.223669999996,0.18
TWN,36,31.48,11221.258999999998,25342.0,16500.223669999996,0.18
TWN,37,31.48,11365.861,25342.0,16500.223669999996,0.18
TWN,38,31.48,11506.011999999999,25342.0,16500.223669999996,0.18
TWN,39,31.48,11655.51,25342.0,16500.223669999996,0.18
TWN,40,31.48,11804.896,25342.0,16500.223669999996,0.18
TWN,41,31.48,11949.443000000001,25342.0,16500.223669999996,0.18
TWN,42,31.48,12118.692,25342.0,16500.223669999996,0.18
TWN,43,31.48,12278.038999999999,25342.0,16500.223669999996,0.18
TWN,44,31.48,12423.976,25342.0,16500.223669999996,0.18
TWN,45,31.48,12572.306,25342.0,16500.223669999996,0.18
TWN,46,31.48,12728.258,25342.0,16500.223669999996,0.18
TWN,47,31.48,12897.284,25342.0,16500.223669999996,0.18
TWN,48,31.48,13057.8545,25342.0,16500.223669999996,0.18
TWN,49,31.48,13241.625,25342.0,16500.223669999996,0.18
TWN,50,31.48,13398.69,25342.0,16500.223669999996,0.18
TWN,51,31.48,13561.151000000002,25342.0,16500.223669999996,0.18
TWN,52,31.48,13724.782,25342.0,16500.223669999996,0.18
TWN,53,31.48,13891.138,25342.0,16500.223669999996,0.18
